length	time	method
54	2.84	Meta-LEARNA
73	2.62	Meta-LEARNA
74	2.78	Meta-LEARNA
79	2.81	Meta-LEARNA
83	2.85	Meta-LEARNA
87	2.82	Meta-LEARNA
89	2.63	Meta-LEARNA
102	2.76	Meta-LEARNA
117	3.05	Meta-LEARNA
118	2.85	Meta-LEARNA
119	5500.0	Meta-LEARNA
129	5500.0	Meta-LEARNA
140	2.87	Meta-LEARNA
148	2.9	Meta-LEARNA
151	2.92	Meta-LEARNA
154	2.96	Meta-LEARNA
161	3.46	Meta-LEARNA
185	2.84	Meta-LEARNA
193	2.88	Meta-LEARNA
210	2.92	Meta-LEARNA
215	2.93	Meta-LEARNA
301	3.21	Meta-LEARNA
340	3.1	Meta-LEARNA
344	3.85	Meta-LEARNA
348	3.05	Meta-LEARNA
357	5500.0	Meta-LEARNA
360	395.41	Meta-LEARNA
382	5500.0	Meta-LEARNA
451	5500.0	Meta-LEARNA
