time	solved
1e-10	0.0
2.62	3.4482758620689653
2.63	6.896551724137931
2.76	10.344827586206897
2.78	13.793103448275861
2.81	17.24137931034483
2.82	20.689655172413794
2.84	27.586206896551722
2.85	34.48275862068966
2.87	37.93103448275862
2.88	41.37931034482759
2.9	44.827586206896555
2.92	51.724137931034484
2.93	55.172413793103445
2.96	58.620689655172406
3.05	65.51724137931035
3.1	68.96551724137932
3.21	72.41379310344827
3.46	75.86206896551724
3.85	79.3103448275862
395.41	82.75862068965517
600.0	82.75862068965517
