length	time	method
54	3.13	LEARNA-30-min
73	4.16	LEARNA-30-min
74	3.21	LEARNA-30-min
79	3.08	LEARNA-30-min
83	3.41	LEARNA-30-min
87	3.04	LEARNA-30-min
89	13.75	LEARNA-30-min
102	12.88	LEARNA-30-min
117	34.69	LEARNA-30-min
118	3.27	LEARNA-30-min
119	5500.0	LEARNA-30-min
129	5500.0	LEARNA-30-min
140	15.98	LEARNA-30-min
148	22.84	LEARNA-30-min
151	19.57	LEARNA-30-min
154	21.73	LEARNA-30-min
161	103.69	LEARNA-30-min
185	22.87	LEARNA-30-min
193	22.39	LEARNA-30-min
210	31.94	LEARNA-30-min
215	35.28	LEARNA-30-min
301	73.94	LEARNA-30-min
340	42.61	LEARNA-30-min
344	108.94	LEARNA-30-min
348	48.4	LEARNA-30-min
357	5500.0	LEARNA-30-min
360	5500.0	LEARNA-30-min
382	5500.0	LEARNA-30-min
451	5500.0	LEARNA-30-min
