time	solved
1e-10	0.0
3.04	3.4482758620689653
3.08	6.896551724137931
3.13	10.344827586206897
3.21	13.793103448275861
3.27	17.24137931034483
3.41	20.689655172413794
4.16	24.137931034482758
12.88	27.586206896551722
13.75	31.03448275862069
15.98	34.48275862068966
19.57	37.93103448275862
21.73	41.37931034482759
22.39	44.827586206896555
22.84	48.275862068965516
22.87	51.724137931034484
31.94	55.172413793103445
34.69	58.620689655172406
35.28	62.06896551724138
42.61	65.51724137931035
48.4	68.96551724137932
73.94	72.41379310344827
103.69	75.86206896551724
108.94	79.3103448275862
600.0	79.3103448275862
