time	high_ci_0.05	low_ci_0.05	mean
1e-10	0.0	0.0	0.0
2.68	0.647213595499958	-0.24721359549995797	0.2
2.75	0.9477225575051661	-0.14772255750516616	0.4
2.77	1.4944271909999158	-0.2944271909999159	0.6
2.78	2.10384048104053	-0.5038404810405297	0.8
2.84	2.732050807568877	-0.7320508075688772	1.0
2.85	2.843167672515498	-0.44316767251549827	1.2
2.86	3.4736441353327723	-0.673644135332772	1.4
2.87	4.109980079602227	-0.9099800796022265	1.6
2.88	5.109980079602227	0.0900199203977734	2.6
2.89	5.187467277262664	0.41253272273733543	2.8
2.9	5.23606797749979	0.7639320225002102	3.0
2.91	7.3911649915626345	0.6088350084373659	4.0
2.92	7.749576240750525	1.8504237592494743	4.8
2.93	8.530495168499705	2.269504831500295	5.4
2.95	9.464101615137753	2.5358983848622456	6.0
2.96	9.914482300479488	3.685517699520512	6.800000000000001
2.97	11.363705936241093	4.2362940637589075	7.8
2.98	12.535533905932738	5.464466094067262	9.0
2.99	13.79317652729776	5.006823472702241	9.4
3.0	14.183300132670379	5.816699867329622	10.0
3.01	15.579959839195492	5.620040160804507	10.6
3.02	16.18330013267038	7.816699867329622	12.0
3.03	16.692849839314597	9.707150160685403	13.200000000000001
3.04	16.961547262794323	10.238452737205677	13.600000000000001
3.05	18.559326868617084	10.240673131382916	14.400000000000002
3.06	18.961547262794323	12.238452737205677	15.6
3.07	19.471085446759226	12.928914553240775	16.2
3.08	20.50135110466435	13.098648895335652	16.8
3.09	21.471085446759226	14.928914553240775	18.2
3.1	21.60936130717624	15.190638692823754	18.4
3.11	22.177708763999664	15.022291236000337	18.6
3.13	23.04691650576209	15.753083494237904	19.4
3.15	23.907135583350033	16.892864416649964	20.4
3.18	24.698717737923587	16.901282262076414	20.8
3.19	25.30116263352131	16.698837366478685	21.0
3.2	25.793176527297756	17.00682347270224	21.4
3.22	26.374934554525332	16.82506544547467	21.6
3.23	26.34972526643093	17.25027473356907	21.8
3.24	26.35889894354067	17.641101056459327	22.0
3.25	26.964451699828633	17.435548300171362	22.2
3.26	26.993176527297756	18.206823472702244	22.6
3.27	27.062019202317984	18.93798079768202	23.0
3.28	27.181534080237807	19.61846591976219	23.4
3.29	27.50135110466435	20.09864889533565	23.8
3.3	27.535533905932734	20.464466094067262	24.0
3.31	27.620526275297415	20.779473724702584	24.2
3.32	27.83511280746353	20.964887192536466	24.4
3.33	28.06356421265527	22.33643578734473	25.2
3.34	28.686335345031	22.113664654969	25.4
3.36	29.149576240750523	23.250423759249475	26.200000000000003
3.37	29.10185121722126	23.698148782778738	26.400000000000002
3.38	29.301851217221262	23.89814878277874	26.6
3.39	29.289979919597748	24.310020080402253	26.8
3.4	29.590890230020662	25.20910976997934	27.399999999999995
3.41	30.187467277262662	25.412532722737335	27.800000000000004
3.42	30.34520787991172	25.65479212008828	28.000000000000004
3.43	30.36794833886788	26.032051661132115	28.199999999999996
3.48	30.673644135332772	26.526355864667227	28.6
3.49	30.72353840616714	26.87646159383286	28.800000000000004
3.51	31.34520787991171	26.654792120088285	28.999999999999996
3.52	31.47364413533277	27.326355864667228	29.4
3.53	31.673644135332772	27.52635586466723	29.600000000000005
3.54	32.28997991959775	27.310020080402253	29.799999999999997
3.58	32.44948974278318	27.55051025721682	30.0
3.59	32.70217288664426	28.097827113355734	30.4
3.62	32.902172886644266	28.297827113355734	30.599999999999998
3.65	33.121320343559645	28.878679656440358	31.0
3.69	33.123538406167135	29.276461593832863	31.2
3.7	33.47364413533277	29.32635586466723	31.4
3.76	34.00831891575846	29.191681084241537	31.6
3.77	34.57488738510232	29.02511261489768	31.8
3.79	34.54950975679639	29.45049024320361	32.0
3.8	34.68997991959775	29.710020080402256	32.2
3.82	34.90998007960223	29.89001992039777	32.4
3.83	35.480972058177585	29.71902794182241	32.6
3.86	36.54664010613631	29.8533598938637	33.2
3.87	36.83511280746353	29.964887192536466	33.4
3.89	37.07108544675922	30.52891455324077	33.8
3.95	37.39116499156263	30.608835008437367	34.0
3.99	37.31448230047949	31.085517699520516	34.2
4.01	37.961547262794326	31.23845273720568	34.6
4.07	37.914482300479484	31.68551769952051	34.8
4.08	38.39116499156263	31.60883500843737	35.0
4.17	38.28097205817758	32.519027941822415	35.4
4.23	38.809361307176246	32.39063869282376	35.6
4.24	38.83315017762062	32.76684982237938	35.8
4.25	39.08220700148449	32.91779299851551	36.0
4.28	39.39374388453427	33.00625611546574	36.2
4.29	39.64959013639538	33.55040986360462	36.6
4.3	40.0	34.0	37.0
4.34	40.471085446759226	33.92891455324078	37.2
4.38	40.977708763999665	33.82229123600033	37.4
4.44	41.17770876399967	34.022291236000335	37.6
4.49	41.1466401061363	34.45335989386369	37.8
4.52	41.06356421265527	35.33643578734473	38.2
4.58	41.10185121722126	35.69814878277874	38.4
4.59	41.207680962081064	35.99231903791894	38.6
4.6	41.08035085019827	36.51964914980172	38.8
4.68	41.236067977499786	36.763932022500214	39.0
4.8	41.58746727726267	36.81253272273734	39.2
4.81	41.47364413533277	37.32635586466723	39.4
4.82	41.416590212458495	37.78340978754151	39.6
4.88	41.96794833886788	37.63205166113212	39.8
5.03	42.0	38.0	40.0
5.07	42.123538406167135	38.27646159383287	40.2
5.13	42.07332005306815	38.726679946931846	40.4
5.16	42.116575088810315	39.08342491118969	40.6
