time	solved
1e-10	0.0
2.68	1.0
2.75	2.0
2.77	3.0
2.78	4.0
2.84	5.0
2.85	6.0
2.86	7.000000000000001
2.87	8.0
2.88	10.0
2.89	11.0
2.9	12.0
2.91	14.000000000000002
2.92	17.0
2.93	18.0
2.97	20.0
2.98	21.0
3.01	22.0
3.02	24.0
3.03	25.0
3.05	27.0
3.06	28.999999999999996
3.13	30.0
3.15	31.0
3.18	32.0
3.19	33.0
3.25	34.0
3.26	35.0
3.28	36.0
3.33	37.0
3.34	38.0
3.42	39.0
3.51	40.0
3.53	41.0
3.77	42.0
3.8	43.0
3.83	44.0
3.86	46.0
4.29	47.0
4.52	48.0
4.88	49.0
5.03	50.0
5.2	51.0
5.51	52.0
5.65	53.0
6.41	54.0
7.55	55.00000000000001
8.95	56.00000000000001
10.05	56.99999999999999
10.27	57.99999999999999
11.54	59.0
22.8	60.0
28.43	61.0
30.1	62.0
65.2	63.0
280.12	64.0
1249.06	65.0
2001.32	66.0
2022.15	67.0
34521.18	68.0
86400.0	68.0
