time	solved
1e-10	0.0
2.77	3.4482758620689653
2.81	6.896551724137931
2.82	10.344827586206897
2.84	13.793103448275861
2.86	20.689655172413794
2.87	27.586206896551722
2.88	31.03448275862069
2.89	34.48275862068966
2.9	37.93103448275862
2.92	41.37931034482759
2.93	44.827586206896555
2.94	48.275862068965516
3.06	51.724137931034484
3.08	55.172413793103445
3.1	58.620689655172406
3.18	62.06896551724138
3.24	65.51724137931035
3.27	68.96551724137932
3.3	72.41379310344827
3.47	75.86206896551724
4.47	79.3103448275862
86.97	82.75862068965517
600.0	82.75862068965517
