time	solved
1e-10	0.0
3.03	1.0
3.08	2.0
3.14	3.0
3.15	4.0
3.16	5.0
3.18	9.0
3.19	10.0
3.21	11.0
3.4	12.0
3.6	13.0
3.62	14.000000000000002
4.05	15.0
4.38	16.0
4.78	17.0
5.45	18.0
7.07	19.0
7.98	20.0
8.42	21.0
12.76	22.0
14.45	23.0
15.1	24.0
15.47	25.0
15.98	26.0
16.33	27.0
18.08	28.000000000000004
18.4	28.999999999999996
19.86	30.0
19.94	31.0
20.21	32.0
21.16	33.0
21.22	34.0
24.09	35.0
25.59	36.0
26.32	37.0
26.79	38.0
27.7	39.0
28.22	40.0
28.8	41.0
37.17	42.0
37.89	43.0
43.4	44.0
45.94	45.0
54.44	46.0
57.75	47.0
61.44	48.0
83.37	49.0
106.01	50.0
133.77	51.0
177.22	52.0
194.27	53.0
220.53	54.0
227.5	55.00000000000001
245.26	56.00000000000001
365.22	56.99999999999999
415.4	57.99999999999999
440.41	59.0
472.26	60.0
715.79	61.0
2422.39	62.0
2831.64	63.0
5441.86	64.0
7927.85	65.0
14740.83	66.0
42229.75	67.0
86400.0	67.0
