length	time	method
12	3.08	LEARNA-30-min
16	3.03	LEARNA-30-min
17	3.62	LEARNA-30-min
26	3.19	LEARNA-30-min
30	19.94	LEARNA-30-min
31	3.18	LEARNA-30-min
34	5500.0	LEARNA-30-min
35	54.44	LEARNA-30-min
36	5500.0	LEARNA-30-min
36	3.18	LEARNA-30-min
36	3.18	LEARNA-30-min
36	6515.7165665103985	LEARNA-30-min
38	3.18	LEARNA-30-min
40	5500.0	LEARNA-30-min
42	3.21	LEARNA-30-min
45	26.32	LEARNA-30-min
45	3.4	LEARNA-30-min
50	18.08	LEARNA-30-min
53	5441.86	LEARNA-30-min
57	4.38	LEARNA-30-min
61	5500.0	LEARNA-30-min
62	15.1	LEARNA-30-min
63	3.16	LEARNA-30-min
63	15.98	LEARNA-30-min
67	3.6	LEARNA-30-min
67	3.15	LEARNA-30-min
67	5500.0	LEARNA-30-min
68	7.98	LEARNA-30-min
73	5500.0	LEARNA-30-min
75	14.45	LEARNA-30-min
80	5500.0	LEARNA-30-min
82	16.33	LEARNA-30-min
85	27.7	LEARNA-30-min
88	5500.0	LEARNA-30-min
92	3.14	LEARNA-30-min
96	25.59	LEARNA-30-min
97	5500.0	LEARNA-30-min
97	6515.7165665103985	LEARNA-30-min
97	28.8	LEARNA-30-min
98	45.94	LEARNA-30-min
100	5500.0	LEARNA-30-min
101	28.22	LEARNA-30-min
101	5500.0	LEARNA-30-min
101	12.76	LEARNA-30-min
102	21.22	LEARNA-30-min
102	18.4	LEARNA-30-min
102	7.07	LEARNA-30-min
103	194.27	LEARNA-30-min
104	19.86	LEARNA-30-min
104	24.09	LEARNA-30-min
104	21.16	LEARNA-30-min
105	2422.39	LEARNA-30-min
105	6515.7165665103985	LEARNA-30-min
105	5500.0	LEARNA-30-min
105	26.79	LEARNA-30-min
105	8.42	LEARNA-30-min
105	7927.85	LEARNA-30-min
105	37.89	LEARNA-30-min
110	5500.0	LEARNA-30-min
111	20.21	LEARNA-30-min
116	61.44	LEARNA-30-min
116	4.78	LEARNA-30-min
116	4.05	LEARNA-30-min
119	5500.0	LEARNA-30-min
122	43.4	LEARNA-30-min
123	472.26	LEARNA-30-min
151	37.17	LEARNA-30-min
174	5.45	LEARNA-30-min
184	177.22	LEARNA-30-min
192	83.37	LEARNA-30-min
200	245.26	LEARNA-30-min
202	2831.64	LEARNA-30-min
212	5500.0	LEARNA-30-min
213	15.47	LEARNA-30-min
214	715.79	LEARNA-30-min
258	415.4	LEARNA-30-min
282	5500.0	LEARNA-30-min
284	106.01	LEARNA-30-min
284	5500.0	LEARNA-30-min
316	227.5	LEARNA-30-min
337	220.53	LEARNA-30-min
355	5500.0	LEARNA-30-min
358	5500.0	LEARNA-30-min
364	5500.0	LEARNA-30-min
370	5500.0	LEARNA-30-min
378	57.75	LEARNA-30-min
379	133.77	LEARNA-30-min
380	42229.75	LEARNA-30-min
382	5500.0	LEARNA-30-min
387	440.41	LEARNA-30-min
389	5500.0	LEARNA-30-min
389	6515.7165665103985	LEARNA-30-min
392	5500.0	LEARNA-30-min
393	5500.0	LEARNA-30-min
397	5500.0	LEARNA-30-min
400	6515.7165665103985	LEARNA-30-min
400	14740.83	LEARNA-30-min
400	7899.773067397644	LEARNA-30-min
400	365.22	LEARNA-30-min
400	5500.0	LEARNA-30-min
